Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
18/10/2024,BOPP,25.21,21.53,25.21,25.21,25.21,25.21,0.0,25.25,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,CAL,0.5,0.28,0.28,0.28,0.28,0.28,0.0,0.26,0.28,269.0,75.32,2025-08-23 18:33:27
18/10/2024,CLYD,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,CMLT,0.12,0.1,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,DASPHARMA,0.4,0.33,0.38,0.38,0.38,0.38,0.0,0.0,0.38,6.0,2.28,2025-08-23 18:33:27
18/10/2024,EGH,6.2,5.48,6.1,6.1,6.1,6.1,0.0,6.1,0.0,62.0,378.2,2025-08-23 18:33:27
18/10/2024,EGL,2.39,1.32,1.99,1.99,1.99,1.99,0.0,0.0,1.99,23.0,45.77,2025-08-23 18:33:27
18/10/2024,ETI,0.18,0.15,0.18,0.18,0.18,0.18,0.0,0.19,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,FML,3.7,3.19,3.5,3.5,3.5,3.5,0.0,0.0,3.5,25.0,87.5,2025-08-23 18:33:27
18/10/2024,GCB,6.15,3.4,6.15,6.15,6.15,6.15,0.0,6.15,0.0,1000.0,6150.0,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,GGBL,5.16,3.4,4.7,4.7,4.7,4.7,0.0,0.0,4.7,21.0,98.7,2025-08-23 18:33:27
18/10/2024,GOIL,1.51,1.5,1.51,1.51,1.51,1.51,0.0,1.51,1.59,90.0,135.9,2025-08-23 18:33:27
18/10/2024,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,5.38,0.0,0.0,2025-08-23 18:33:27
